"clip_name","kick_time_s","kick_frame"
"2015-03-11_-_22-45_Bayern_Munich_7_-_0_Shakhtar_Donetsk_H1_000209s.mp4","10.080000","252"
"2015-04-11_-_21-45_Verona_0_-_3_Inter_H2_001890s.mp4","10.800000","270"
"2015-04-18_-_21-00_Real_Madrid_3_-_1_Malaga_H2_001285s.mp4","10.280000","257"
"2015-05-16_-_16-30_Wolfsburg_2_-_1_Dortmund_H1_000627s.mp4","10.720000","268"
"2015-09-26_-_16-30_1_FSV_Mainz_05_0_-_3_Bayern_Munich_H1_001209s.mp4","10.440000","261"
"2015-11-03_-_22-45_Shakhtar_Donetsk_4_-_0_Malmo_FF_H2_000140s.mp4","10.720000","268"
"2015-11-29_-_18-00_Eibar_0_-_2_Real_Madrid_H2_002192s.mp4","10.880000","272"
"2016-03-02_-_23-00_Levante_1_-_3_Real_Madrid_H1_002016s.mp4","10.320000","258"
"2016-12-12_-_23-00_AS_Roma_1_-_0_AC_Milan_H1_001607s.mp4","10.320000","258"
"2016-12-22_-_22-45_AS_Roma_3_-_1_Chievo_H2_002822s.mp4","10.520000","263"
"2017-01-15_-_19-00_Manchester_United_1_-_1_Liverpool_H1_001596s.mp4","10.480000","262"
"2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H1_000398s.mp4","10.920000","273"
"2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H1_002248s.mp4","10.400000","260"
"2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H2_002199s.mp4","10.760000","269"
"2017-05-06_-_19-30_Barcelona_4_-_1_Villarreal_H2_002174s.mp4","10.720000","268"
